Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TradeScenarioServlet,EAID_E5F28FD2_C8BD_4685_9946_BE9D3B419166,0.34285715,0.6571429,0.54285717,2,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TradeServletAction,EAID_3FF02AFE_417D_4fb6_B88E_76A49481A3B6,0.78571427,0.21428573,0.85714287,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.TradeWebContextListener,EAID_E249A913_3786_4ed6_8F24_DA80500DFE74,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF,EAID_3B38E851_EE32_41ee_B63D_E569FFC5021A,0.14883721,0.8511628,0.7836102,21,43,42,19,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer,EAID_7C8360BB_F8B7_4837_9264_EAE6C3A850D1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.HoldingData,EAID_62B215C3_2736_4b1c_897A_DA83253A3D32,0.24561404,0.75438595,0.6783626,10,19,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.JSFLoginFilter,EAID_1C3FF901_D32B_4907_83F9_DC480AD6464F,0.35,0.65,0.5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,EAID_6B8C2E5B_9586_45fe_A4FC_581631844C48,0.5,0.5,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,EAID_E348FA77_0504_4584_89B1_1F1CDFA18F3B,0.20535715,0.79464287,0.7011905,8,16,16,7,9,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.OrderData,EAID_10F3B21A_6F6A_4569_9B5C_24AB0658B6EE,0.27272728,0.72727275,0.6141002,10,22,22,10,10,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,5,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,EAID_90C98D68_D052_4619_A863_DBF6D97042DF,0.3809524,0.61904764,0.52380955,4,7,7,2,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,3,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,EAID_B8645C36_E780_48ee_972E_F41A44940FB4,0.24,0.76,0.7311111,13,25,25,11,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,EAID_DCD4E6D9_A0D0_4c3e_9A0C_F1B33CC0C4BB,0.2654321,0.7345679,0.6666666,11,27,27,11,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,EAID_C36EC8DF_03E9_4574_9EA1_E9FF53D4A380,0.22727273,0.77272725,0.6545454,6,11,11,4,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,EAID_211AE0B3_B2FB_4018_9EC9_21259FCAF49A,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,EAID_35600836_35BB_45fb_9B6C_23C55CF3D9EA,0.70454544,0.29545456,0.7467532,12,22,22,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,EAID_3C51BC88_4D12_4725_9916_F51FFEB3E663,0.29,0.71000004,0.6128205,19,40,40,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.ExplicitGC,EAID_19F94255_E632_4350_9708_FCDC71C97910,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingBean,EAID_DAE1E772_0CEA_432e_8300_18191855C768,0.75,0.25,0.5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingCDIBean,EAID_8D6CA8AB_12A4_420b_A3D6_B1931F4B64BE,1,0,1,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingCDIJSFBean,EAID_65B5CAD7_9B2F_43a1_A08A_DECE08693745,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingEJBLocal,EAID_8B126469_951A_4054_824F_BAC3BD2FD679,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingEJBLocalDecorator,EAID_D8B93725_019D_4e48_82E3_C4D77F5EA7F8,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingInterceptor,EAID_AC1E4E80_E6E5_4579_929D_CB1A85CCD7BF,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead,EAID_E9324A1E_E19D_414a_AED8_346476C7F72A,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingJDBCRead2JSP,EAID_3EEC374A_48EA_4f3d_B3B0_E85D9641C07D,0.45,0.55,0.43333334,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingJDBCWrite,EAID_D4486816_0F8A_4a9d_84A6_24B9605BC5D8,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingJSONP,EAID_9F444967_A27F_4a01_83A4_5DD0C710BD63,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingManagedExecutor,EAID_C3D44558_079F_4c88_9E3F_D8D3CE80852D,0.45,0.55,0.43333334,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingManagedThread,EAID_070E7905_3ED9_44e3_80B1_BD20BF9E09BE,0.45,0.55,0.43333334,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingReentryServlet,EAID_527C18A0_6F5D_48e1_8AFD_590E7B41106F,0.45,0.55,0.43333334,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet,EAID_76DE1DDB_D06B_4e08_A28D_FD28D1F35542,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2DB,EAID_110E1D30_FB97_4661_945D_7A654FA68061,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Include,EAID_38592E64_E5AF_42c4_AC4D_845468A95F3D,0.6666667,0.3333333,0.5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2IncludeRcv,EAID_D8E96576_95FF_4105_A7B5_0BF2DF82AC68,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2JNDI,EAID_C48676D4_BE1D_47be_9013_09C72DADA241,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Jsp,EAID_1A91BC5F_E5E8_4213_BAD1_B020252BF4A1,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2PDF,EAID_85C1914D_AA5C_4b57_8A29_25C874DE1D65,1,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2Servlet,EAID_09DBA08C_CBE1_4988_ABA8_D2DDBAB8FE13,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet2ServletRcv,EAID_FC7E7960_BE5A_4b92_A153_2D68DF7B23D8,0.6666667,0.3333333,0.5,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet30Async,EAID_ADCACC7F_0191_4ea5_B429_EF865F63EC5E,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
