classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
daytrader.web.prims.PingServletWriter,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,43.000000,3.000000,EAID_73CB34A8_127A_49a7_AE34_8F2E00D729A5
daytrader.web.prims.PingSession1,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,61.000000,4.000000,EAID_7B544DFB_72C9_4e97_9D35_35C16E299974
daytrader.web.prims.PingSession2,1.000000,0.000000,1.000000,0.450000,4.000000,0.000000,0.000000,69.000000,3.000000,EAID_82570868_78F1_40f4_9BBB_AC123C4AA92B
daytrader.web.prims.PingSession3,2.000000,0.000000,3.000000,0.450000,4.000000,0.000000,0.000000,86.000000,4.000000,EAID_B993736C_A114_4b28_A297_5E84436A50FF
daytrader.web.prims.PingSession3Object,0.000000,2.000000,0.000000,0.000000,1.000000,0.000000,0.000000,33.000000,15.000000,EAID_2F9036B8_F3B2_4848_B33B_387A48BE194E
daytrader.web.prims.PingUpgradeServlet,1.000000,0.000000,10.000000,1.000000,2.000000,0.000000,0.000000,111.000000,1.000000,EAID_03E4C141_76DC_4594_97B8_40C7F7D9CC92
daytrader.web.prims.PingWebSocketBinary,0.000000,0.000000,0.000000,0.416667,4.000000,0.000000,0.000000,37.000000,1.000000,EAID_9490676C_952F_4261_9B5C_A2701EEF61BB
daytrader.web.prims.PingWebSocketJson,1.000000,0.000000,8.000000,0.416667,4.000000,0.000000,0.000000,70.000000,3.000000,EAID_68EE11E1_5F00_47e1_B573_E01D682368A4
daytrader.web.prims.PingWebSocketTextAsync,0.000000,0.000000,0.000000,0.416667,4.000000,0.000000,0.000000,31.000000,2.000000,EAID_03DFB2F8_181B_47b7_A6EE_F714CC77E4C6
daytrader.web.prims.PingWebSocketTextSync,0.000000,0.000000,0.000000,0.416667,4.000000,0.000000,0.000000,36.000000,2.000000,EAID_27CF09BA_D0D2_4352_A245_5E9188DAC04E
daytrader.web.prims.ReadListenerImpl,0.000000,0.000000,0.000000,0.333333,4.000000,0.000000,0.000000,0.000000,4.000000,EAID_CEF76348_04B8_45b9_B7DA_BF063F43B6CF
daytrader.web.prims.WriteListenerImpl,0.000000,0.000000,0.000000,0.388889,3.000000,0.000000,0.000000,0.000000,3.000000,EAID_33697DC6_F64A_4f22_B246_8CCD8FDDA316
daytrader.web.prims.ejb3.PingServlet2Entity,3.000000,0.000000,6.000000,0.450000,4.000000,0.000000,0.000000,64.000000,4.000000,EAID_21D03E9F_1AFF_4203_9B9C_C63D625A4EB3
daytrader.web.prims.ejb3.PingServlet2MDBQueue,2.000000,0.000000,3.000000,0.450000,4.000000,0.000000,0.000000,81.000000,5.000000,EAID_782D7E8C_DBAF_4f40_8979_EA2AFA806309
daytrader.web.prims.ejb3.PingServlet2MDBTopic,2.000000,0.000000,3.000000,0.450000,4.000000,0.000000,0.000000,81.000000,5.000000,EAID_E3CE5DB1_E390_4457_9E0B_66414B40B440
daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many,4.000000,0.000000,7.000000,0.450000,4.000000,0.000000,0.000000,69.000000,4.000000,EAID_73183FA4_50DB_4c8c_AA29_1980F82F9526
daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One,4.000000,0.000000,7.000000,0.450000,4.000000,0.000000,0.000000,61.000000,4.000000,EAID_BF191128_ED3A_4525_A42F_ACCDDFCA37EB
daytrader.web.prims.ejb3.PingServlet2Session2Entity,4.000000,0.000000,9.000000,0.450000,4.000000,0.000000,0.000000,75.000000,4.000000,EAID_67049C72_86B1_4843_9A82_5168AF94DE5A
daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP,4.000000,0.000000,8.000000,0.450000,4.000000,0.000000,0.000000,66.000000,2.000000,EAID_585732E4_B4FA_4fce_9BDB_95256DB5EA20
