class_name,method_name,cluster
Delivery,set Transport Status,cluster-4
Delivery,set Unloaded At Destination,cluster-4
Delivery,update On Routing,cluster-4
CannotCreateHandlingEventException,Cannot Create Handling Event Exception,cluster-3
CannotCreateHandlingEventException,Cannot Create Handling Event Exception,cluster-3
HandlingEvent,equals,cluster-6
HandlingEvent,get Cargo,cluster-6
HandlingEvent,get Completion Time,cluster-6
HandlingEvent,get Location,cluster-6
HandlingEvent,get Registration Time,cluster-6
HandlingEvent,get Summary,cluster-6
HandlingEvent,get Type,cluster-6
HandlingEvent,get Voyage,cluster-6
HandlingEvent,Handling Event,cluster-6
HandlingEvent,Handling Event,cluster-6
HandlingEvent,Handling Event,cluster-6
HandlingEvent,hash Code,cluster-6
HandlingEvent,same Event As,cluster-6
HandlingEvent,to String,cluster-6
HandlingActivity,equals,cluster-0
HandlingActivity,get Location,cluster-0
HandlingActivity,get Type,cluster-0
HandlingActivity,get Voyage,cluster-0
HandlingActivity,Handling Activity,cluster-0
HandlingActivity,Handling Activity,cluster-0
HandlingActivity,Handling Activity,cluster-0
HandlingActivity,hash Code,cluster-0
HandlingActivity,is Empty,cluster-0
HandlingActivity,same Value As,cluster-0
Itinerary,equals,cluster-2
Itinerary,get Final Arrival Date,cluster-2
Itinerary,get Final Arrival Location,cluster-2
Itinerary,get Initial Departure Location,cluster-2
Itinerary,get Last Leg,cluster-2
Itinerary,get Legs,cluster-2
Itinerary,hash Code,cluster-2
Itinerary,is Expected,cluster-2
Itinerary,Itinerary,cluster-2
Itinerary,Itinerary,cluster-2
Itinerary,same Value As,cluster-2
Itinerary,to String,cluster-2
Leg,equals,cluster-0
Leg,get Load Location,cluster-0
Leg,get Load Time,cluster-0
Leg,get Unload Location,cluster-0
Leg,get Unload Time,cluster-0
Leg,get Voyage,cluster-0
Leg,hash Code,cluster-0
Leg,Leg,cluster-0
Leg,Leg,cluster-0
Leg,same Value As,cluster-0
Leg,to String,cluster-0
RouteSpecification,equals,cluster-1
RouteSpecification,get Arrival Deadline,cluster-1
RouteSpecification,get Destination,cluster-1
RouteSpecification,get Origin,cluster-1
RouteSpecification,hash Code,cluster-1
RouteSpecification,is Satisfied By,cluster-1
RouteSpecification,Route Specification,cluster-1
RouteSpecification,Route Specification,cluster-1
RouteSpecification,same Value As,cluster-1
CarrierMovement,Carrier Movement,cluster-0
CarrierMovement,Carrier Movement,cluster-0
CarrierMovement,equals,cluster-0
CarrierMovement,get Arrival Location,cluster-0
CarrierMovement,get Arrival Time,cluster-0
CarrierMovement,get Departure Location,cluster-0
CarrierMovement,get Departure Time,cluster-0
CarrierMovement,hash Code,cluster-0
CarrierMovement,same Value As,cluster-0
VoyageNumber,equals,cluster-3
VoyageNumber,get Id String,cluster-3
VoyageNumber,hash Code,cluster-3
VoyageNumber,same Value As,cluster-3
VoyageNumber,to String,cluster-3
VoyageNumber,Voyage Number,cluster-3
VoyageNumber,Voyage Number,cluster-3
AndSpecification,And Specification,cluster-1
AndSpecification,is Satisfied By,cluster-1
OrSpecification,is Satisfied By,cluster-1
OrSpecification,Or Specification,cluster-1
UnknownLocationException,get Message,cluster-1
UnknownLocationException,Unknown Location Exception,cluster-1
UnknownVoyageException,get Message,cluster-1
