Name,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,0.14604463,0.8539554,0.77281946,8,29,27,0,9,0,0,0,0,0,0,0,0,0,2,0,1,1,6,6,1,0,24,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.entities.AccountDataBean,0.12587413,0.87412584,0.7977855,12,33,33,11,13,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,1,30,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,0.17045455,0.82954544,0.80411255,8,22,22,7,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,18,2,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,0.13377926,0.8662207,0.77257526,8,23,23,7,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,14,6,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.entities.OrderDataBean,0.115384616,0.88461536,0.8077887,13,39,39,12,19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,18,9,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,0.16444445,0.83555555,0.75333333,9,25,25,8,10,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,33,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,0.5,0.5,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.FinancialUtils,0.39285713,0.60714287,0.5952381,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.KeyBlockIterator,0.30555555,0.6944444,0.5416666,0,9,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.util.KeyBlock,0.41666666,0.5833334,0.5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
