,class_name,cluster,type,algo,project_id,xmi_id
85,daytrader.web.prims.PingWebSocketBinary,1,combo,ga_kmeans,11,EAID_9490676C_952F_4261_9B5C_A2701EEF61BB
86,daytrader.web.prims.PingWebSocketJson,1,combo,ga_kmeans,11,EAID_68EE11E1_5F00_47e1_B573_E01D682368A4
87,daytrader.web.prims.PingWebSocketTextAsync,1,combo,ga_kmeans,11,EAID_03DFB2F8_181B_47b7_A6EE_F714CC77E4C6
88,daytrader.web.prims.PingWebSocketTextSync,1,combo,ga_kmeans,11,EAID_27CF09BA_D0D2_4352_A245_5E9188DAC04E
89,daytrader.web.prims.ReadListenerImpl,1,combo,ga_kmeans,11,EAID_CEF76348_04B8_45b9_B7DA_BF063F43B6CF
90,daytrader.web.prims.WriteListenerImpl,1,combo,ga_kmeans,11,EAID_33697DC6_F64A_4f22_B246_8CCD8FDDA316
91,daytrader.web.prims.ejb3.PingServlet2Entity,1,combo,ga_kmeans,11,EAID_21D03E9F_1AFF_4203_9B9C_C63D625A4EB3
92,daytrader.web.prims.ejb3.PingServlet2MDBQueue,1,combo,ga_kmeans,11,EAID_782D7E8C_DBAF_4f40_8979_EA2AFA806309
93,daytrader.web.prims.ejb3.PingServlet2MDBTopic,1,combo,ga_kmeans,11,EAID_E3CE5DB1_E390_4457_9E0B_66414B40B440
94,daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many,1,combo,ga_kmeans,11,EAID_73183FA4_50DB_4c8c_AA29_1980F82F9526
95,daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One,1,combo,ga_kmeans,11,EAID_BF191128_ED3A_4525_A42F_ACCDDFCA37EB
96,daytrader.web.prims.ejb3.PingServlet2Session2Entity,1,combo,ga_kmeans,11,EAID_67049C72_86B1_4843_9A82_5168AF94DE5A
97,daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP,1,combo,ga_kmeans,11,EAID_585732E4_B4FA_4fce_9BDB_95256DB5EA20
98,daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection,1,combo,ga_kmeans,11,EAID_74538025_B64E_4de7_98B5_9CD6FFCF7CA0
99,daytrader.web.prims.ejb3.PingServlet2SessionLocal,1,combo,ga_kmeans,11,EAID_4EFBCB32_82DF_47c2_90ED_1B5BD5B0DE36
100,daytrader.web.prims.ejb3.PingServlet2SessionRemote,1,combo,ga_kmeans,11,EAID_313EC7D1_9EC1_40ec_9EE4_B1292CB707A4
101,daytrader.web.prims.ejb3.PingServlet2TwoPhase,1,combo,ga_kmeans,11,EAID_A26052D7_3E7A_4cb6_BA01_A79F364CCC47
102,daytrader.web.websocket.ActionDecoder,1,combo,ga_kmeans,11,EAID_F0136E3B_77BC_442c_8B2F_D472135EE240
103,daytrader.web.websocket.ActionMessage,1,combo,ga_kmeans,11,EAID_45562C1A_4157_4143_8CF6_842FC0192B31
104,daytrader.web.websocket.JsonDecoder,1,combo,ga_kmeans,11,EAID_342B40A2_535E_4a35_9511_D1F724134CE6
105,daytrader.web.websocket.JsonEncoder,1,combo,ga_kmeans,11,EAID_22F249C8_A445_4d7c_8D11_DF6D8E50D33C
106,daytrader.web.websocket.JsonMessage,0,combo,ga_kmeans,11,EAID_5A610847_D80C_4169_A9AB_C99CF0B97EE0
107,daytrader.web.websocket.MarketSummaryWebSocket,1,combo,ga_kmeans,11,EAID_70887623_AE61_443f_9B74_A3C31C5512FB
108,daytrader.web.websocket.RecentStockChangeList,1,combo,ga_kmeans,11,EAID_A11B8BD8_78DA_43d2_AD9B_7A3A6A543B60
